# t,a,e,i,Omega,omega,varpi,f,M,lam
6.574500000000000000e+06,5.201334029944900905e+00,5.820478774298915026e-02,1.794160257165081429e+00,1.164826864581918500e+02,3.068542669307295796e+02,6.333695338892140114e+01,-1.530264682621709937e+02,2.101203892256882568e+02,2.734573426146096722e+02
6.939750000000000000e+06,5.202243570150508312e+00,5.730398971844816169e-02,1.832481443570521451e+00,1.156071603503584555e+02,3.093556656078164337e+02,6.496282595817490346e+01,-4.417821837298535570e+01,3.202594799367083169e+02,2.522230589488324526e+01
7.305000000000000000e+06,5.203174403560251626e+00,5.564551089879986312e-02,1.869074647275520862e+00,1.146495285884358566e+02,3.143841245674867650e+02,6.903365315592265006e+01,7.387970958436096680e+01,6.782705376663882646e+01,1.368607069225614907e+02
7.670250000000000000e+06,5.201634116977377431e+00,5.555983547816249063e-02,1.901025432076734578e+00,1.135983047033431035e+02,3.169825221336340633e+02,7.058082683697715254e+01,1.782404249263180702e+02,1.780364732116489392e+02,2.486173000486260776e+02
8.035500000000000000e+06,5.202329243518608592e+00,5.299079827728881559e-02,1.928830277526816017e+00,1.125019697525514601e+02,3.212970204344749163e+02,7.379899018702634805e+01,-7.943543650784609156e+01,2.864880407699918692e+02,2.870309570182109082e-01
8.400750000000000000e+06,5.202781058224691613e+00,5.314850530116653482e-02,1.952059000349324114e+00,1.113112190003688795e+02,3.249038937697932852e+02,7.621511277016216468e+01,3.957365422569952784e+01,3.581044464147180406e+01,1.120255574116339687e+02
8.766000000000000000e+06,5.202440110145272634e+00,5.021667810798983306e-02,1.969808290029094300e+00,1.100859242185035356e+02,3.281007166907724582e+02,7.818664090927596533e+01,1.486990548276527875e+02,1.456107385762509523e+02,2.237973794855269318e+02
9.131250000000000000e+06,5.201454266914870672e+00,4.958062196674655614e-02,1.983727656213006840e+00,1.087988067362414597e+02,3.325239210843436126e+02,8.132272782058508653e+01,-1.111869208179562207e+02,2.541806969326904095e+02,3.355034247532755103e+02
9.496500000000000000e+06,5.202225903702600185e+00,4.723308066872182465e-02,1.991952214235645613e+00,1.074666384522720790e+02,3.345177488910372858e+02,8.198438734330933642e+01,5.814766053004699842e+00,5.285155842794375225e+00,8.726954318610370365e+01
9.861750000000000000e+06,5.202685719342328596e+00,4.582138477087306649e-02,1.996681091366611316e+00,1.061318160924707286e+02,3.390660179946784751e+02,8.519783408714916106e+01,1.185025792139712877e+02,1.138127303726022035e+02,1.990105644597513503e+02
1.022700000000000000e+07,5.201745230335276027e+00,4.474308409740702930e-02,1.995910485948806379e+00,1.047957270428090624e+02,3.413596230240071350e+02,8.615535006681619734e+01,-1.387458688926527941e+02,2.247217470734335052e+02,3.108770971402497594e+02
1.059225000000000000e+07,5.201749946864981489e+00,4.192734016742123704e-02,1.991460238318049969e+00,1.034305792083624738e+02,3.446973675612053398e+02,8.812794676956781359e+01,-2.777210662535524222e+01,3.344056552399358679e+02,6.253360200950367442e+01
1.095750000000000000e+07,5.202188528560968805e+00,4.107763529859832091e-02,1.981698793227443911e+00,1.021046429332578640e+02,3.471642550364961153e+02,8.926889796975395086e+01,8.978508149627266732e+01,8.507983211547254143e+01,1.743487300852265207e+02
1.132275000000000000e+07,5.204352452747055047e+00,3.822710474961060756e-02,1.967979900241459079e+00,1.008204304221604986e+02,3.481256524511899215e+02,8.894608287335043428e+01,-1.640502147337623740e+02,1.971875248250557036e+02,2.861336076984061378e+02
1.168800000000000000e+07,5.202481971849912235e+00,3.735201161445320106e-02,1.949264465059288520e+00,9.955632789412572947e+01,3.514942528414192111e+02,9.105058073554498321e+01,-5.665762452792986181e+01,3.068631957881897847e+02,3.791377652373476792e+01
1.205325000000000000e+07,5.202353740823947525e+00,3.559190675230341355e-02,1.926427948528255385e+00,9.837636060516669545e+01,3.505968747484456571e+02,8.897323535361233837e+01,6.440682246660136911e+01,6.077106779017989879e+01,1.497443031437922514e+02
1.241850000000000000e+07,5.202975784114288516e+00,3.362094056191920755e-02,1.899013925482425869e+00,9.722432468958901097e+01,3.538833033891241371e+02,9.110762807871314806e+01,1.710326085523729773e+02,1.704167872067158385e+02,2.615244152854289723e+02
1.278375000000000000e+07,5.202795769238935719e+00,3.302894007740984905e-02,1.867788043360640859e+00,9.617803557766949041e+01,3.520642334297139087e+02,8.824226900738341328e+01,-7.854053759027215165e+01,2.851500318005178656e+02,1.339230080790126109e+01
1.314900000000000000e+07,5.202357876996120289e+00,3.048050131698077508e-02,1.833534416972856018e+00,9.519750900364337554e+01,3.528737882733144602e+02,8.807129727695784993e+01,3.933288437959011219e+01,3.715773178303729907e+01,1.252290290599951277e+02
1.351425000000000000e+07,5.202259745852090056e+00,3.093288972372719436e-02,1.795705724234121892e+00,9.433841958800024941e+01,3.519383361018698224e+02,8.627675568987008603e+01,1.524779049316601629e+02,1.508056828347893372e+02,2.370824385246594375e+02
1.387950000000000000e+07,5.203011549272822833e+00,2.884270799104585864e-02,1.756196431255408585e+00,9.360524597929162383e+01,3.499851279725528457e+02,8.359037395184451213e+01,-9.789946654309383689e+01,2.653836124475141105e+02,3.489739863993586368e+02
1.424475000000000000e+07,5.202433328474636909e+00,2.886427121960218750e-02,1.713854659526352631e+00,9.303753906503754934e+01,3.498930630548734371e+02,8.293060211991100061e+01,1.900491774311620929e+01,1.794946977285692569e+01,1.008800718927679299e+02
1.461000000000000000e+07,5.201819883472454720e+00,2.864861429525715486e-02,1.669868061040572282e+00,9.260780394271969840e+01,3.455997160499243819e+02,7.820751999264409449e+01,1.368286545176549112e+02,1.345470101233370883e+02,2.127545301159811970e+02
1.497525000000000000e+07,5.202297130511220224e+00,2.857902378216065076e-02,1.624153263669698477e+00,9.236822327010425226e+01,3.448447607984775800e+02,7.721298406858184649e+01,-1.155486750039961947e+02,2.474332245213948340e+02,3.246462085899767089e+02
