# t,a,e,i,Omega,omega,varpi,f,M,lam
1.314900000000000000e+07,1.928597631888843011e+01,4.867115214996158012e-02,5.891340327015246459e-01,1.133246897639026258e+02,9.379581702432290058e+01,2.071205067882255264e+02,-3.047172788479373295e+01,3.322697384798900089e+02,1.793902452681155921e+02
1.351425000000000000e+07,1.923020158967270987e+01,4.437848327988085789e-02,5.819186074139168774e-01,1.144694108495163647e+02,9.924731516776304829e+01,2.137167260172794272e+02,-7.340897647832375128e+01,2.914173236296562663e+02,1.451340496469356935e+02
1.387950000000000000e+07,1.919793842947179385e+01,3.962644645950062078e-02,5.823080803043988452e-01,1.159469160858352410e+02,9.892960712987323291e+01,2.148765232157084597e+02,-1.104782551721663282e+02,2.538192929554943760e+02,1.086958161712027930e+02
1.424475000000000000e+07,1.929872226955714964e+01,3.907828182695617658e-02,5.820117844990558842e-01,1.170825247615650397e+02,8.886182153788438143e+01,2.059443462994494212e+02,-1.362340757531420081e+02,2.269298840934238513e+02,7.287423039287328663e+01
1.461000000000000000e+07,1.914204360600398402e+01,4.625106928330102035e-02,5.788122867650640213e-01,1.188247070810617743e+02,9.521479675315632107e+01,2.140395038342180953e+02,-1.763920777085770908e+02,1.839533583767930338e+02,3.799286221101112204e+01
1.497525000000000000e+07,1.927064932666852926e+01,3.931343615066407865e-02,5.772748145488451055e-01,1.205813185570478652e+02,1.042370091546584945e+02,2.248183277117063597e+02,1.416670616537504372e+02,1.388072295684377195e+02,3.625557280144113825e+00
1.534050000000000000e+07,1.919802464610848958e+01,3.783638793703423403e-02,5.754951157146230845e-01,1.220310294044924575e+02,9.844633157909707677e+01,2.204773609835895343e+02,1.120062560111418293e+02,1.079440990777102769e+02,3.284214600612997970e+02
1.570575000000000000e+07,1.920072342865433868e+01,4.130985737861941204e-02,5.800949075921829623e-01,1.237982561158472379e+02,9.403011038521242426e+01,2.178283665010596621e+02,7.861188541766307480e+01,7.400081501596517342e+01,2.918291815170248356e+02
1.607100000000000000e+07,1.926821985109740254e+01,4.404151435501664491e-02,5.825285000255722156e-01,1.251204276622877529e+02,9.728757486086152539e+01,2.224080025231492925e+02,3.725083566452758532e+01,3.427483472047680380e+01,2.566828372436260679e+02
1.643625000000000000e+07,1.911502980863966883e+01,3.884199871471029353e-02,5.846986578342325824e-01,1.272766226446858866e+02,9.654976917545491233e+01,2.238263918201407989e+02,-1.723255496825023769e+00,3.584067937643243340e+02,2.222331855844651614e+02
