# t,a,e,i,Omega,omega,varpi,f,M,lam
3.652500000000000000e+06,3.004532404374904075e+01,1.225611667120617837e-02,1.790059058990968843e+00,1.310718564912668000e+02,2.857553626735933108e+02,5.682721916486010372e+01,1.540869661402257975e+02,1.534681044401235681e+02,2.102953236049836505e+02
4.017750000000000000e+06,3.023058322766128825e+01,4.536508199761207435e-03,1.793223352821122552e+00,1.309653219613711315e+02,2.854954725893402383e+02,5.646079455071139819e+01,1.778334336619848841e+02,1.778137140357855799e+02,2.342745085864969781e+02
4.383000000000000000e+06,3.019980667284698228e+01,7.836136243334035703e-03,1.794346324863960618e+00,1.309416266518990142e+02,2.505091363964118045e+02,2.145076304831082226e+01,-1.230411866587587895e+02,2.377139636336818569e+02,2.591647266819926472e+02
4.748250000000000000e+06,3.001715134936364748e+01,1.156617304845533600e-02,1.797589061405722388e+00,1.308389969627444884e+02,2.830310452504717205e+02,5.387004221321621600e+01,-1.316591310587990051e+02,2.293368078405428889e+02,2.832068500537591262e+02
5.113500000000000000e+06,3.010056768450541043e+01,8.368671326883138015e-03,1.800995516351166392e+00,1.307552933408791773e+02,2.785374469876568924e+02,4.929274032853606258e+01,-1.042152594990405134e+02,2.567157801949737177e+02,3.060085205235097874e+02
5.478750000000000000e+06,3.025372822578927057e+01,1.072396180457281176e-02,1.803012205169056248e+00,1.306285820687307933e+02,2.519367355122516869e+02,2.256531758098246243e+01,-5.413012271076041060e+01,3.068610103764280552e+02,3.294263279574105354e+02
5.844000000000000000e+06,3.018042441184582358e+01,1.293716876569818777e-02,1.805049673145155520e+00,1.305696870734148831e+02,2.731437103327085083e+02,4.371339740612339853e+01,-5.066414462411776753e+01,3.104754454053025938e+02,3.541888428114260137e+02
6.209250000000000000e+06,2.995839208364956718e+01,7.541673452733661798e-03,1.807836485229970425e+00,1.305288701050716043e+02,3.034732146880180608e+02,7.400208479308970766e+01,-5.611583511665944712e+01,3.045993439887817544e+02,1.860142878187144433e+01
6.574500000000000000e+06,3.000607524131708104e+01,7.757853036604401252e-03,1.809503885441387849e+00,1.304533703860431046e+02,2.718610493206838896e+02,4.231441970672704400e+01,-4.332571896156903191e-01,3.595734261094225417e+02,4.188784581614961411e+01
6.939750000000000000e+06,3.022603494170963501e+01,1.535764158516769208e-02,1.811284015124474456e+00,1.302689101731213270e+02,2.836679711145815759e+02,5.393688128770295975e+01,1.136351305372090437e+01,1.102064062403487554e+01,6.495752191173784240e+01
7.305000000000000000e+06,3.022753970317190308e+01,1.371900274022386408e-02,1.813146427975115271e+00,1.302143696618595925e+02,3.050091638939179575e+02,7.522353355577756417e+01,1.455155712498770804e+01,1.416046994461813746e+01,8.938400350039569275e+01
7.670250000000000000e+06,3.004239727002680738e+01,7.794080087725975894e-03,1.813902649640695364e+00,1.301271604702644709e+02,2.850010420678015066e+02,5.512820253806598458e+01,5.957490701214108952e+01,5.880704281559624036e+01,1.139352453536622249e+02
8.035500000000000000e+06,3.003543367133018194e+01,1.148593783184898021e-02,1.818268038407100384e+00,1.300338358632067184e+02,2.730516868185093244e+02,4.308552268171598598e+01,9.577210139818011214e+01,9.446147636868582254e+01,1.375469990504018369e+02
