# t,a,e,i,Omega,omega,varpi,f,M,lam
7.305000000000000000e+06,1.523771731985728239e+00,1.054147180838342912e-01,1.036024056870832100e+00,-1.432737843414476515e+02,2.041808611782934975e+02,6.090707683684583884e+01,6.048852533385550601e+01,5.038594564833174871e+01,1.112930224851775876e+02
7.670250000000000000e+06,1.523601155728048440e+00,1.056962803004908719e-01,1.193188287911937984e+00,-1.495854019609591319e+02,2.147168370176707981e+02,6.513143505671165201e+01,-8.271021990455588480e+01,2.891622864093408225e+02,3.542937214660524319e+02
8.035500000000000000e+06,1.523634706535569983e+00,1.057381922756247122e-01,1.352211462998351266e+00,-1.551611977734486061e+02,2.245075662544941792e+02,6.934636848104558737e+01,1.701855444820451737e+02,1.679465515321013243e+02,2.372929200131469258e+02
8.400750000000000000e+06,1.523727084246210506e+00,1.058339688206763607e-01,1.512628693933621982e+00,-1.602263779522149889e+02,2.338112935007828241e+02,7.358491554856784944e+01,5.637084878654820130e+01,4.671255053386973088e+01,1.202974660824375945e+02
8.766000000000000000e+06,1.523656006975394162e+00,1.059325441217891794e-01,1.673926039172745295e+00,-1.649518208662093457e+02,2.427490566910970813e+02,7.779723582488772138e+01,-8.652823066126413210e+01,2.855079641366717738e+02,3.305199961559510680e+00
9.131250000000000000e+06,1.523611388241207454e+00,1.058628606490168295e-01,1.834527351798348693e+00,-1.694439869395475569e+02,2.515626737551058056e+02,8.211868681555823457e+01,1.671204582529073264e+02,1.641916037216381312e+02,2.463102905371963800e+02
9.496500000000000000e+06,1.523642882298443135e+00,1.057800864139321201e-01,1.995397692185609584e+00,-1.737523529762748637e+02,2.600880364362301407e+02,8.633568345995527693e+01,5.207152710220093184e+01,4.296783483325804553e+01,1.293035182932133296e+02
9.861750000000000000e+06,1.523706037909912547e+00,1.056692274605978560e-01,2.156033318135117227e+00,-1.779307855142440928e+02,2.685525396680955623e+02,9.062175415385144106e+01,-9.039906662692898465e+01,2.816935387946077753e+02,1.231529294845922351e+01
1.022700000000000000e+07,1.523639105841981367e+00,1.056304744903820009e-01,2.315390335706501990e+00,1.780056222844131639e+02,2.769845176449519499e+02,9.499013992936511386e+01,1.639473464124513384e+02,1.603270278235611386e+02,2.553171677529262524e+02
1.059225000000000000e+07,1.523644039711093523e+00,1.052669522332726759e-01,2.474866314407342838e+00,1.740296445888309051e+02,2.853061619215150699e+02,9.933580651034598930e+01,4.738986407105341669e+01,3.897352752707752899e+01,1.383093340374234970e+02
1.095750000000000000e+07,1.523745211386098752e+00,1.050257530637234704e-01,2.633050514645304485e+00,1.701373153564857716e+02,2.935553002997042995e+02,1.036926156561900569e+02,-9.444298611128306220e+01,2.776073639458585944e+02,2.129997960204866203e+01
1.132275000000000000e+07,1.523779225825525385e+00,1.047299177401508491e-01,2.789264421689998219e+00,1.663306324698815502e+02,3.017690453902756076e+02,1.080996778601571577e+02,1.605229096677031748e+02,1.562046072551182760e+02,2.643042851152754338e+02
1.168800000000000000e+07,1.523678615319251639e+00,1.042668281405410152e-01,2.944127914572838733e+00,1.625974492197129848e+02,3.099426728957259911e+02,1.125401221154390186e+02,4.235226780832464755e+01,3.475188731006048926e+01,1.472920094254995149e+02
1.205325000000000000e+07,1.523649601487804706e+00,1.038263947763228001e-01,3.095616934933897557e+00,1.589296535929373135e+02,3.180498728701901427e+02,1.169795264631274989e+02,-9.857592144913017762e+01,2.733056524824791040e+02,3.028517894560660650e+01
1.241850000000000000e+07,1.523766023206088560e+00,1.033897249883807684e-01,3.242730959252817513e+00,1.553310303965723165e+02,3.261154960104826728e+02,1.214465264070550035e+02,1.568420579594121875e+02,1.518290940400043212e+02,2.732756204470593389e+02
1.278375000000000000e+07,1.523676867509853761e+00,1.027844799767636819e-01,3.385666064002763154e+00,1.517957392959700940e+02,3.342513490844154376e+02,1.260470883803855173e+02,3.687746911434508235e+01,3.022696736783705163e+01,1.562740557482225654e+02
1.314900000000000000e+07,1.523640679626341976e+00,1.021541105841103497e-01,3.521720674948596308e+00,1.483008245414391126e+02,3.422859751076920816e+02,1.305867996491312226e+02,-1.029164078775086892e+02,2.686724528457503425e+02,3.925925249488157931e+01
1.351425000000000000e+07,1.523652765543342502e+00,1.015132865427870179e-01,3.650309886184902819e+00,1.448508719620340344e+02,3.503296686152304460e+02,1.351805405772645088e+02,1.527690533031849895e+02,1.470645014446201344e+02,2.822450420218846716e+02
1.387950000000000000e+07,1.523696306488342866e+00,1.008738311441494673e-01,3.771209770095111491e+00,1.414278940370836608e+02,3.584855458704369084e+02,1.399134399075206261e+02,3.088918403235275179e+01,2.532192216779576555e+01,1.652353620753163739e+02
1.424475000000000000e+07,1.523599498925346518e+00,1.000186589860250219e-01,3.881949359962333812e+00,1.380127470731875974e+02,6.642555969054563469e+00,1.446553030422421671e+02,-1.075916428386801016e+02,2.635693201205813807e+02,4.822462316282357619e+01
1.461000000000000000e+07,1.523601228811747532e+00,9.926686829998887518e-02,3.983276389532082629e+00,1.346017582267582213e+02,1.478604861907417423e+01,1.493878068458323867e+02,1.482040546105287433e+02,1.418112814531317838e+02,2.911990882989641705e+02
1.497525000000000000e+07,1.523706354312719835e+00,9.854217907327368631e-02,4.074635439825641470e+00,1.311762904345883669e+02,2.309782317647530903e+01,1.542741136110636546e+02,2.424589162048176050e+01,1.990503674609860241e+01,1.741791503571622854e+02
1.534050000000000000e+07,1.523751230092490250e+00,9.764406732892623453e-02,4.154746648175865253e+00,1.277244573258778644e+02,3.149590711628824025e+01,1.592203644421661011e+02,-1.126752660302015556e+02,2.579334776899829649e+02,5.715384213214908016e+01
1.570575000000000000e+07,1.523651105329788313e+00,9.675239634540917788e-02,4.225278859504677520e+00,1.242422647893081518e+02,3.994256434778100129e+01,1.641848291370891673e+02,1.430108098124946423e+02,1.359362881120638065e+02,3.001211172491529737e+02
1.607100000000000000e+07,1.523648387218334177e+00,9.593382029844894909e-02,4.286178896913245495e+00,1.207190581371316398e+02,4.843289660157162047e+01,1.691519547387032674e+02,1.692720671508434549e+01,1.393468247592275411e+01,1.830866372146260233e+02
1.643625000000000000e+07,1.523766987956449048e+00,9.504470845028029080e-02,4.337140539632539316e+00,1.171483263734956495e+02,5.713526450325065298e+01,1.742835908767463025e+02,-1.181580576176064170e+02,2.517654798480674572e+02,6.604907072481375963e+01
1.680150000000000000e+07,1.523720587748824240e+00,9.419346226525132648e-02,4.379994128401283326e+00,1.135467014433608028e+02,6.583476859552430938e+01,1.793814700388851122e+02,1.373405137608859548e+02,1.296329461367121496e+02,3.090144161755972618e+02
1.716675000000000000e+07,1.523617675622301881e+00,9.327343940641878717e-02,4.414716438895595729e+00,1.098977600484837325e+02,7.463002105027806010e+01,1.845277810987618068e+02,9.013038090982501416e+00,7.447778363888477138e+00,1.919755594626502671e+02
1.753200000000000000e+07,1.523703801810560421e+00,9.248537723124961030e-02,4.441111589881600707e+00,1.062124393727045799e+02,8.360350589962466472e+01,1.898159452723292304e+02,-1.240293567345920707e+02,2.450978959616766133e+02,7.491384123400584372e+01
1.789725000000000000e+07,1.523719563089377393e+00,9.147902065689607343e-02,4.460652606259953856e+00,1.025130227680437969e+02,9.254309606431120017e+01,1.950561188323549686e+02,1.310836930659534971e+02,1.228177403528704161e+02,3.178738591852253421e+02
1.826250000000000000e+07,1.523642717097160260e+00,9.055961671348949915e-02,4.472314459853320656e+00,9.878908400501379106e+01,1.015946513026657954e+02,2.003837353076795580e+02,5.353886796257170122e-01,4.446383116281514836e-01,2.008283736193077118e+02
1.862775000000000000e+07,1.523590989509886029e+00,8.979315605041293669e-02,4.475754215851285522e+00,9.505688747207557299e+01,1.107196297579251336e+02,2.057765172300006782e+02,-1.302155314703999807e+02,2.379907428913927845e+02,8.376726012139346267e+01
1.899300000000000000e+07,1.523699719439843614e+00,8.874145542464265124e-02,4.471164813166384810e+00,9.132247434374728812e+01,1.199693938172583643e+02,2.112918681610056524e+02,1.241436859549092873e+02,1.154101879594219753e+02,3.267020561204276419e+02
1.935825000000000000e+07,1.523743880602437262e+00,8.786548649267572619e-02,4.456917084828789122e+00,8.758025727815078199e+01,1.292448828276170900e+02,2.168251401057678720e+02,-8.585511510284478121e+00,3.528248780375245701e+02,2.096500181432924421e+02
1.972350000000000000e+07,1.523651104736776007e+00,8.700582125031312841e-02,4.432615675339504513e+00,8.384272788327612602e+01,1.385639916973086088e+02,2.224067195805847348e+02,-1.369626068330793771e+02,2.301765546334328576e+02,9.258327421401760660e+01
2.008875000000000000e+07,1.523620591801562396e+00,8.619652086713518180e-02,4.398074110021537031e+00,8.009233751361384179e+01,1.481274700439148830e+02,2.282198075575287248e+02,1.163874403327214253e+02,1.072874357677569179e+02,3.355072433252856285e+02
2.045400000000000000e+07,1.523731210005827563e+00,8.533780010555909457e-02,4.351200174797882347e+00,7.632145318682796642e+01,1.576509286764379851e+02,2.339723818632659800e+02,-1.845124017851045295e+01,3.444650009346566435e+02,2.184373827979226235e+02
2.081925000000000000e+07,1.523681115645235451e+00,8.459261357794686798e-02,4.292640994545279476e+00,7.253233457412633811e+01,1.672789566589244998e+02,2.398112912330508379e+02,-1.443814408076378868e+02,2.215668631362007091e+02,1.013781543692515896e+02
2.118450000000000000e+07,1.523621343267603345e+00,8.413779911683243184e-02,4.222868841275377427e+00,6.868558328152587933e+01,1.770109498833180339e+02,2.456965331648439133e+02,1.079558683567899351e+02,9.861249627788093619e+01,3.443090294427248637e+02
2.154975000000000000e+07,1.523675199775862632e+00,8.353287454656423139e-02,4.140379369762883677e+00,6.477109130099306356e+01,1.869469596099314401e+02,2.517180509109244895e+02,-2.887647391996866730e+01,3.355030068852078102e+02,2.272210577961323281e+02
2.191500000000000000e+07,1.523738348019617606e+00,8.316991891870241516e-02,4.047418504159416841e+00,6.078903095495004294e+01,1.969315338903315933e+02,2.577205648452816718e+02,-1.522588509044451541e+02,2.124339700758070251e+02,1.101545349210887252e+02
2.228025000000000000e+07,1.523687682364735618e+00,8.289743649696745820e-02,3.944884681812081961e+00,5.669052313881995531e+01,2.070136542174857652e+02,2.637041773563057063e+02,9.885105379761455424e+01,8.938492443900727835e+01,3.530891017953130131e+02
2.264550000000000000e+07,1.523611840730838773e+00,8.268947476380723860e-02,3.832831161532409769e+00,5.246430022103726287e+01,2.173562191971901143e+02,2.698205194182273772e+02,-3.958380398070348605e+01,3.261744684563034298e+02,2.359949878745308354e+02
2.301075000000000000e+07,1.523707962587061093e+00,8.263835000825850430e-02,3.714156377832895650e+00,4.811587960602007996e+01,2.276735740866129163e+02,2.757894536926330034e+02,-1.602624946367070038e+02,2.031320056760369823e+02,1.189214593686699715e+02
2.337600000000000000e+07,1.523785445667997118e+00,8.268007435668531246e-02,3.590200122923793202e+00,4.360411622604470949e+01,2.382103242797438440e+02,2.818144405057885251e+02,8.949132771109275097e+01,8.003327100601676136e+01,1.847711511805260942e+00
2.374125000000000000e+07,1.523639857952787890e+00,8.280212556471266971e-02,3.461332502292328694e+00,3.892096575802881375e+01,2.489813821030653287e+02,2.879023478610941424e+02,-5.013670680733052620e+01,3.168616485259333899e+02,2.447639963870275608e+02
2.410650000000000000e+07,1.523659946728392223e+00,8.286841013677309631e-02,3.330384944771813238e+00,3.407908103862513371e+01,2.597833928542878539e+02,2.938624738929129876e+02,-1.682428999844103714e+02,1.938165268228227660e+02,1.276790007157357536e+02
2.447175000000000000e+07,1.523695080903869625e+00,8.304883289845106653e-02,3.198021619233173407e+00,2.904542540947534945e+01,2.707964844994428972e+02,2.998419099089182396e+02,8.002473944921533189e+01,7.076237689022620714e+01,1.060428679914444139e+01
2.483700000000000000e+07,1.523683196579167509e+00,8.342652624698236596e-02,3.064006208727377611e+00,2.382842058772810034e+01,2.819989849124786474e+02,3.058274055002067371e+02,-6.034643648527177362e+01,3.077041759854392922e+02,2.535315814856460293e+02
2.520225000000000000e+07,1.523596578151683811e+00,8.363764692259550992e-02,2.930881804043832695e+00,1.841425095968746461e+01,2.935008719083458573e+02,3.119151228680333361e+02,-1.761516133193856888e+02,1.845343143173668352e+02,1.364494371854001713e+02
2.556750000000000000e+07,1.523662044787216008e+00,8.402178219481550026e-02,2.797321949917888517e+00,1.277853494564731740e+01,3.050687812224309141e+02,3.178473161680782937e+02,7.039921063221738962e+01,6.152636696522208837e+01,1.937368313330035363e+01
2.593275000000000000e+07,1.523701607619815768e+00,8.451305828593747016e-02,2.663909994055678077e+00,6.914157723538308709e+00,3.168602777941738395e+02,3.237744355177121633e+02,-7.039032715162601050e+01,2.985326295346861230e+02,2.623070650523983431e+02
2.629800000000000000e+07,1.523647342181266406e+00,8.526939427064296473e-02,2.532393018579231381e+00,7.542396160841321473e-01,3.290539034430645415e+02,3.298081430591486765e+02,1.761344076854666127e+02,1.754310713801281736e+02,1.452392144392768500e+02
2.666325000000000000e+07,1.523598082359938211e+00,8.585151374822552750e-02,2.401548605294861805e+00,-5.741729960086519036e+00,3.414418859389452336e+02,3.357001559788587315e+02,6.077739217351003731e+01,5.246190170823825838e+01,2.816205768709695434e+01
2.702850000000000000e+07,1.523704179433762018e+00,8.668603329256273360e-02,2.273909964774015524e+00,-1.262216253295301094e+01,3.541907052979610739e+02,3.415685427650080328e+02,-8.014107523349431972e+01,2.895261201284772596e+02,2.710946628934853493e+02
2.739375000000000000e+07,1.523827446523649654e+00,8.764415457513340113e-02,2.152009097073760202e+00,-2.000078025706153184e+01,7.364392172564645733e+00,3.473636119155030997e+02,1.687609981623026272e+02,1.666696256081640399e+02,1.540332375236671680e+02
2.775900000000000000e+07,1.523676161808309448e+00,8.864515188762300824e-02,2.037687130427162874e+00,-2.796155294396372781e+01,2.106818144933745174e+01,3.531066285053737488e+02,5.148251507712853936e+01,4.385824166365630106e+01,3.696487016903000722e+01
2.812425000000000000e+07,1.523655977835421726e+00,8.974320058815990486e-02,1.935880053847359283e+00,-3.652337317681433859e+01,3.526348237280968334e+01,3.587401091959953305e+02,-8.909657235731042135e+01,2.811612668871769074e+02,2.799013760831721811e+02
2.848950000000000000e+07,1.523734824201596449e+00,9.098440028479960751e-02,1.851523786353591605e+00,-4.575721030208816842e+01,5.003537428139254928e+01,4.278163979304378195e+00,1.619983282629117411e+02,1.585545272625855944e+02,1.628326912418899610e+02
2.885475000000000000e+07,1.523713311464661047e+00,9.203954741618752822e-02,1.788674135321817182e+00,-5.562909766221254415e+01,6.544178100990303903e+01,9.812683347690489555e+00,4.278437679614271616e+01,3.597230186875717095e+01,4.578498521644765873e+01
2.922000000000000000e+07,1.523625059322215813e+00,9.317657093240061528e-02,1.752764139517517750e+00,-6.590804941618377200e+01,8.105696855363626696e+01,1.514891913745249141e+01,-9.708650619314052221e+01,2.735859177438585448e+02,2.887348368813110255e+02
2.958525000000000000e+07,1.523609706742380610e+00,9.429818289570317258e-02,1.746764494058615114e+00,-7.641867897900031892e+01,9.680858362194265965e+01,2.038990464294234073e+01,1.559884637466726645e+02,1.512908602866310162e+02,1.716807649295733711e+02
2.995050000000000000e+07,1.523717929771235990e+00,9.543680015361105662e-02,1.770534691475680100e+00,-8.686337730315972294e+01,1.125727649064115070e+02,2.570938760325178407e+01,3.481860393236861739e+01,2.892606822697209168e+01,5.463545583022387575e+01
3.031575000000000000e+07,1.523627949453395525e+00,9.635612038387919576e-02,1.823049310270134615e+00,-9.688570849091809123e+01,1.277550284242523588e+02,3.086931993333427116e+01,-1.041502385386685035e+02,2.667324948812395746e+02,2.976018148145738564e+02
3.068100000000000000e+07,1.523612552360947170e+00,9.735887065298322318e-02,1.900474320399536454e+00,-1.063535162329726376e+02,1.423112441389658613e+02,3.595772790599320956e+01,1.504720343330034780e+02,1.446052541607960222e+02,1.805629820667892318e+02
3.104625000000000000e+07,1.523645847701585065e+00,9.843497734431970458e-02,1.997306514012386902e+00,-1.151577758369791127e+02,1.562064210996501572e+02,4.104864526267104452e+01,2.732630433788670743e+01,2.247105645846089672e+01,6.351970172113193769e+01
3.141150000000000000e+07,1.523771001814377302e+00,9.928686127438351994e-02,2.108878507755758580e+00,-1.232464877826742935e+02,1.693934034279618004e+02,4.614691564528749268e+01,-1.105792983168549739e+02,2.603416036788907491e+02,3.064885193241782417e+02
3.177675000000000000e+07,1.523690259344985032e+00,1.001926103997517054e-01,2.230776673382550257e+00,-1.307136741115694463e+02,1.818857343149261396e+02,5.117206020335670047e+01,1.452538283373211812e+02,1.382861917878926192e+02,1.894582519912493410e+02
3.214200000000000000e+07,1.523627800756440775e+00,1.011316486670652548e-01,2.358165822704560988e+00,-1.376333517625787124e+02,1.937135892885606836e+02,5.608023752598198541e+01,2.005198494965579670e+01,1.634577582680168462e+01,7.242601335278367003e+01
3.250725000000000000e+07,1.523763488818350664e+00,1.020800410341328041e-01,2.489148836030414813e+00,-1.440793277186203056e+02,2.051801999528057081e+02,6.110087223418538827e+01,-1.165310497833005172e+02,2.542884989554222273e+02,3.153893711896076297e+02
3.287250000000000000e+07,1.523721808084015805e+00,1.030390822742841689e-01,2.622047246713650193e+00,-1.501482549239882189e+02,2.161130846686646123e+02,6.596482974467637916e+01,1.404007504216138216e+02,1.324068580448306705e+02,1.983716877895070638e+02
3.323775000000000000e+07,1.523643941607995655e+00,1.038937690795576074e-01,2.754127952111036226e+00,-1.558981739345088045e+02,2.267045046169141642e+02,7.080633068240537398e+01,1.304006572040622913e+01,1.054533208905514208e+01,8.135166277146052494e+01
3.360300000000000000e+07,1.523684393873683707e+00,1.049590838205487625e-01,2.886237341630654818e+00,-1.613909876897067761e+02,2.370086478018110370e+02,7.561766011210428928e+01,-1.219377911576073927e+02,2.486961037448845104e+02,3.243137638569887713e+02
3.396825000000000000e+07,1.523726936165594292e+00,1.057193054592441700e-01,3.017913857392157340e+00,-1.666688886195404109e+02,2.469636026502925574e+02,8.029471403075213232e+01,1.359321466645415910e+02,1.270086242305481505e+02,2.073033382613002686e+02
3.433350000000000000e+07,1.523686338340386470e+00,1.065885642930263916e-01,3.147932918557185822e+00,-1.717418317933963863e+02,2.566642453555906513e+02,8.492241356219429349e+01,6.692166133175622811e+00,5.374536976777835484e+00,9.029695053897214052e+01
3.469875000000000000e+07,1.523567726297296865e+00,1.074983261498584503e-01,3.277780187655547017e+00,-1.766418603573279142e+02,2.661131490546113127e+02,8.947128869728337008e+01,-1.265719680310489679e+02,2.438045200419081198e+02,3.332758087391914614e+02
3.506400000000000000e+07,1.523673993294750728e+00,1.080920486768648242e-01,3.406617108185462595e+00,1.786160506507435173e+02,2.753876181665209515e+02,9.400366881726444035e+01,1.319827661645090586e+02,1.222611785787049854e+02,2.162648473959694400e+02
3.542925000000000000e+07,1.523738215991017553e+00,1.087512202199567984e-01,3.533404153632566214e+00,1.740442353398910882e+02,2.843799751693846360e+02,9.842421050927569581e+01,1.047391646915425634e+00,8.369417215811767452e-01,9.926115223085687944e+01
3.579450000000000000e+07,1.523660260481694007e+00,1.092813909085276064e-01,3.658752886186364073e+00,1.696287448770358424e+02,2.931577857328860546e+02,1.027865306099219254e+02,-1.305662005558467627e+02,2.394675172173699877e+02,3.422540478272919131e+02
3.615975000000000000e+07,1.523594240419793966e+00,1.097638052529899544e-01,3.781262306764991976e+00,1.653507541164728138e+02,3.018728160894270900e+02,1.072235702058998186e+02,1.283921354219722843e+02,1.180185884318901941e+02,2.252421586377899985e+02
3.652500000000000000e+07,1.523692774779809467e+00,1.100094448188029955e-01,3.899424585185592651e+00,1.612269449115437112e+02,3.102921849153262883e+02,1.115191298268699995e+02,-4.123943537006361737e+00,3.567129842221779086e+02,1.082321140490479223e+02
3.689025000000000000e+07,1.523694432923033970e+00,1.102456999427223888e-01,4.013146520463839906e+00,1.572429757707999727e+02,3.185983624844917586e+02,1.158413382552917454e+02,-1.342043494977119735e+02,2.353922960761979368e+02,3.512336343314896681e+02
3.725550000000000000e+07,1.523634224541573046e+00,1.105837654729742159e-01,4.120302339310708106e+00,1.533702349157045433e+02,3.267778424094022967e+02,1.201480773251068399e+02,1.249652313882887142e+02,1.140802350417281588e+02,2.342283123668349845e+02
3.762075000000000000e+07,1.523658648981849550e+00,1.105256711845285372e-01,4.220251861572269725e+00,1.496183327388065152e+02,3.348654833343073847e+02,1.244838160731138998e+02,-9.131378820404844276e+00,3.527249172695580910e+02,1.172087333426719908e+02
3.798600000000000000e+07,1.523752995551745038e+00,1.106303122508305592e-01,4.312529511929869663e+00,1.459667826492946574e+02,3.428128344786967432e+02,1.287796171279914290e+02,-1.376615155030988547e+02,2.314224537664129855e+02,2.020708944044227739e-01
3.835125000000000000e+07,1.523723098415981081e+00,1.106860036991552110e-01,4.395008032498039618e+00,1.423926858472812853e+02,3.506402446485278688e+02,1.330329304958091541e+02,1.214591299657799226e+02,1.101692638201029979e+02,2.432021943159121520e+02
3.871650000000000000e+07,1.523615953677224022e+00,1.106109985765107856e-01,4.468287523055484378e+00,1.388962064356549604e+02,3.584802094958788530e+02,1.373764159315337849e+02,-1.403471189441834532e+01,3.488075773162526048e+02,1.261839932477863613e+02
3.908175000000000000e+07,1.523687784188285210e+00,1.105990759611586299e-01,4.531873498232749320e+00,1.354514734264157880e+02,6.128125558165887554e+00,1.415795989845816791e+02,-1.409307711310619879e+02,2.275960279228080196e+02,9.175626907389702325e+00
3.944700000000000000e+07,1.523803880111961995e+00,1.105269434073989365e-01,4.584806758188948450e+00,1.320482797658452512e+02,1.374539697814646289e+01,1.457936767439917105e+02,1.179935493516506995e+02,1.063779362723162194e+02,2.521716130163079299e+02
3.981225000000000000e+07,1.523659356659688990e+00,1.105192405246062243e-01,4.628228890634490611e+00,1.286854788999175696e+02,2.135633126021397388e+01,1.500418101601315186e+02,-1.862140251090209730e+01,3.451244702650059821e+02,1.351662804251375007e+02
4.017750000000000000e+07,1.523627113031700064e+00,1.103192359152256330e-01,4.662234511163759976e+00,1.253359034886421028e+02,2.886218992484694823e+01,1.541980934134890333e+02,-1.439988590408249820e+02,2.239556082393483791e+02,1.815370165283739112e+01
4.054275000000000000e+07,1.523663658448930480e+00,1.101354847315385160e-01,4.686708016498095652e+00,1.220022173224843556e+02,3.632873965393601878e+01,1.583309569764203673e+02,1.146689354577291482e+02,1.028123742767213713e+02,2.611433312531417528e+02
