# t,a,e,i,Omega,omega,varpi,f,M,lam
6.574500000000000000e+06,7.233331143002643682e-01,3.658958312049096981e-03,2.318778710135279475e+00,1.903254846179408588e+01,7.347167962805332309e+01,9.250422808984741607e+01,7.195712087796272804e+00,7.143335426767590590e+00,9.964756351661499423e+01
6.939750000000000000e+06,7.233230391356044731e-01,3.754507667148502485e-03,2.219199806190727653e+00,1.504033775555453545e+01,7.597218517438959395e+01,9.101252292994412585e+01,-1.731177990390459058e+02,1.869338998153640716e+02,2.779464227453082117e+02
7.305000000000000000e+06,7.233319323555983393e-01,3.792370979133131113e-03,2.117538909874741027e+00,1.086895688457280862e+01,7.832363035703008336e+01,8.919258724160287954e+01,7.102687915420133002e+00,7.049105019399227956e+00,9.624169226100211461e+01
7.670250000000000000e+06,7.233296366803427802e-01,3.854684436073526396e-03,2.014719377550191481e+00,6.507595879506002490e+00,8.208548304762462067e+01,8.859307892713061960e+01,-1.740971400558104278e+02,1.859484177800727309e+02,2.745414967072033505e+02
8.035500000000000000e+06,7.233283035681699058e-01,3.917613614075663928e-03,1.911329549421319163e+00,1.915314574083927468e+00,8.669553598438305642e+01,8.861085055846697855e+01,4.263198345508149245e+00,4.229923561024067524e+00,9.284077411949104430e+01
8.400750000000000000e+06,7.233282875060823569e-01,4.001947882641397093e-03,1.807799253021839192e+00,-2.944127835770640633e+00,9.107888727786931327e+01,8.813475944209866952e+01,-1.770188614822130546e+02,1.830050601621462363e+02,2.711398196042449058e+02
8.766000000000000000e+06,7.233387643444283421e-01,4.071255629620736810e-03,1.705249050467604111e+00,-8.110996818996552449e+00,9.564434296430430038e+01,8.753334614530773194e+01,1.919210146312007481e+00,1.903633437704570053e+00,8.943697958301231665e+01
9.131250000000000000e+06,7.233260524578777328e-01,4.079436178686570401e-03,1.605049298448416151e+00,-1.364010474284093277e+01,1.014912425313683713e+02,8.785113778852743849e+01,1.798887416048685566e+02,1.798878307983484888e+02,2.677389685868758988e+02
9.496500000000000000e+06,7.233349340343597778e-01,4.091116595185343395e-03,1.507775482422613278e+00,-1.959585238989014400e+01,1.081933704511078105e+02,8.859751806121767004e+01,-2.580016730524357094e+00,3.574410219321491695e+02,8.603853999336685376e+01
9.861750000000000000e+06,7.233247974919553291e-01,4.133985668084158918e-03,1.415038799961428229e+00,-2.603408226527532321e+01,1.153385503114341759e+02,8.930446804615885981e+01,1.750736644577686434e+02,1.750328578108371573e+02,2.643373258569960171e+02
1.022700000000000000e+07,7.233423123249629327e-01,4.159452622730959795e-03,1.328410748895736182e+00,-3.302764443648219128e+01,1.227797241000232589e+02,8.975207966354106759e+01,-7.172449666941956181e+00,3.528868778551308196e+02,8.263895751867190143e+01
1.059225000000000000e+07,7.233290735303675723e-01,4.099495489070895636e-03,1.249642688200561347e+00,-4.062568825173596565e+01,1.307682446547599682e+02,9.014255640302400252e+01,1.708694927865951172e+02,1.707947213837362028e+02,2.609372777867601485e+02
1.095750000000000000e+07,7.233282297814289663e-01,4.054724537333883987e-03,1.181102281923994912e+00,-4.885738056063956947e+01,1.399524039402268158e+02,9.109502337958724638e+01,-1.195294958819709485e+01,3.481429951185781420e+02,7.923801849816534570e+01
1.132275000000000000e+07,7.233293195385012142e-01,4.040011895676204681e-03,1.124986858416896940e+00,-5.773781059176371144e+01,1.500997050201192167e+02,9.236189442835551233e+01,1.652947749647598812e+02,1.651769112703364328e+02,2.575388056986919310e+02
1.168800000000000000e+07,7.233366419684649218e-01,4.007866042235750173e-03,1.083040428424075774e+00,-6.719534552420559237e+01,1.604479426198083729e+02,9.325259709560278054e+01,-1.755079503523244000e+01,3.425873017200495951e+02,7.583989881565240410e+01
1.205325000000000000e+07,7.233238892552865673e-01,3.939497607353343971e-03,1.057371718978989295e+00,-7.707599601400141864e+01,1.704427630981726338e+02,9.336676708417122938e+01,1.609178130287563704e+02,1.607698155637728235e+02,2.541365826479440670e+02
1.241850000000000000e+07,7.233325957415506213e-01,3.840019112460471562e-03,1.049047276806587048e+00,-8.716853818285946431e+01,1.817166165514573493e+02,9.454807836859787074e+01,-2.227715598799327168e+01,3.378892116361880653e+02,7.243729000478599289e+01
1.278375000000000000e+07,7.233272117360969311e-01,3.743379057712550254e-03,1.058160797811536824e+00,-9.720331074977650587e+01,1.930785683337765022e+02,9.587525758400001052e+01,1.550423608032025982e+02,1.548609004269577554e+02,2.507361580109577517e+02
1.314900000000000000e+07,7.233284840957208139e-01,3.643285050767211194e-03,1.084332998040448581e+00,-1.069393871595543999e+02,2.036056087458836430e+02,9.666622158632924311e+01,-2.782226027898384046e+01,3.323721248418790992e+02,6.903834642820835654e+01
1.351425000000000000e+07,7.233298267044064866e-01,3.546642738991978745e-03,1.125568827940700567e+00,-1.162057611057644664e+02,2.125560745033860428e+02,9.635031339762157643e+01,1.511787831223101932e+02,1.509824017299121977e+02,2.473327151275337314e+02
1.387950000000000000e+07,7.233268894387056003e-01,3.371938176392183951e-03,1.179626683901120243e+00,-1.248529354365774395e+02,2.216395363571177199e+02,9.678660092054028041e+01,-3.135474179427336949e+01,3.288458800054073095e+02,6.563248092594757566e+01
1.424475000000000000e+07,7.233301301058453481e-01,3.210443572731261613e-03,1.244270916022099716e+00,-1.328470437179035173e+02,2.298355593106317372e+02,9.698851559272820566e+01,1.471407582870730550e+02,1.469407454128762538e+02,2.439292610056044452e+02
1.461000000000000000e+07,7.233287774265189096e-01,3.074057027501611930e-03,1.317094850203649692e+00,-1.402027754136903752e+02,2.371453818817728916e+02,9.694260646808251636e+01,-3.491522839617772433e+01,3.252860124147666738e+02,6.222861888284923992e+01
1.497525000000000000e+07,7.233250960726956835e-01,2.949592635818284320e-03,1.396084370364540028e+00,-1.469687287143121921e+02,2.426829897741819195e+02,9.571426105986972743e+01,1.450021771099748094e+02,1.448079679241770634e+02,2.405222289840467909e+02
1.534050000000000000e+07,7.233331042986893555e-01,2.734756818292103861e-03,1.479478614583254803e+00,-1.531977984606309633e+02,2.472647124017833278e+02,9.406691394115237870e+01,-3.542828911023262606e+01,3.247530689168910953e+02,5.881998285804345983e+01
1.570575000000000000e+07,7.233298453044364473e-01,2.536998273945303452e-03,1.565564999185202755e+00,-1.589742517233720491e+02,2.511833357953168218e+02,9.220908407194475842e+01,1.450703596664654924e+02,1.449036429312471910e+02,2.371127270031919352e+02
1.607100000000000000e+07,7.233246754336117856e-01,2.351099277578951301e-03,1.652775658017423321e+00,-1.643474295839648676e+02,2.544049026247962502e+02,9.005747304083138260e+01,-3.480093888459666118e+01,3.253526017826930001e+02,5.541007482352438274e+01
1.643625000000000000e+07,7.233325954510601008e-01,2.218209892635987328e-03,1.740533068891408464e+00,-1.693810328782247723e+02,2.552495159858167426e+02,8.586848310759197034e+01,1.479662617204484718e+02,1.478312452653511855e+02,2.336997283729431558e+02
1.680150000000000000e+07,7.233276406617767940e-01,2.062863834428700031e-03,1.827388750435513298e+00,-1.741201398261963789e+02,2.533556157449767454e+02,7.923547591878036656e+01,-2.735032677093122899e+01,3.327581273129593455e+02,5.199360323173974052e+01
1.716675000000000000e+07,7.233307329579664602e-01,1.940222833510131051e-03,1.912894531987719082e+00,-1.786032905943273477e+02,2.508866943946197239e+02,7.228340380029239043e+01,1.580854252055366089e+02,1.580023330271363591e+02,2.302857368274287921e+02
1.753200000000000000e+07,7.233280458233132260e-01,1.847944599801750820e-03,1.996461846678819541e+00,1.771205666719509395e+02,2.473065104220677881e+02,6.442707709401869920e+01,-1.590827054781905048e+01,3.441496948527577047e+02,4.857677194677638255e+01
1.789725000000000000e+07,7.233310569473594409e-01,1.887488805216058427e-03,2.077203156743910206e+00,1.730236236304545230e+02,2.434777271671837013e+02,5.650135079763822432e+01,1.703979517318869910e+02,1.703618232179814527e+02,2.268631740156196770e+02
1.826250000000000000e+07,7.233297559834093171e-01,1.986625778159391634e-03,2.154605133272337714e+00,1.690898973696161534e+02,2.382896582890222419e+02,4.737955565863842367e+01,-2.234049855192942413e+00,3.577748111241804168e+02,4.515436678281883331e+01
1.862775000000000000e+07,7.233315244342233274e-01,2.115375373059465765e-03,2.228433268457865157e+00,1.652937024598292908e+02,2.334887336541933678e+02,3.878243611402262303e+01,-1.753610179350876024e+02,1.846586180515728870e+02,2.234410541655955171e+02
1.899300000000000000e+07,7.233231915068515372e-01,2.305942949882749775e-03,2.298239894747783119e+00,1.616170630763023439e+02,2.298155580502289013e+02,3.143262112653120610e+01,1.034369674180251764e+01,1.029633209334742361e+01,4.172895321987862616e+01
