# t,a,e,i,Omega,omega,varpi,f,M,lam
5.113500000000000000e+06,9.991433376441384295e-01,8.503302603189287490e-03,1.563278521396862297e+00,1.414111566671567459e+02,1.505005587582429882e+01,1.564612125429810305e+02,8.603098141222118045e+01,8.505935228734938391e+01,2.415205648303303860e+02
5.478750000000000000e+06,9.991640411899013197e-01,7.889015019161159728e-03,1.648421265999949981e+00,1.390455225458717621e+02,2.234063986843238325e+01,1.613861624143041524e+02,1.718314674887831188e+02,1.717022641014542046e+02,3.330884265157583854e+02
5.844000000000000000e+06,9.991790799052840955e-01,7.275312425176303811e-03,1.729534734845699306e+00,1.366766834689100563e+02,2.920296933407145801e+01,1.658796528029815249e+02,-1.020366115031969088e+02,2.587796706789022778e+02,6.465932348188380274e+01
6.209250000000000000e+06,9.991605280050018800e-01,6.640490945497015511e-03,1.806429205338084598e+00,1.343051711440782299e+02,3.683393168096495174e+01,1.711391028250431816e+02,-1.510957868811541616e+01,3.450878237686731040e+02,1.562269265937163425e+02
6.574500000000000000e+06,9.991514620821758674e-01,6.001230019437246710e-03,1.878856094501555996e+00,1.319343559509418924e+02,4.486502867993833377e+01,1.767993846308802119e+02,7.164969296023228651e+01,7.099789937707660670e+01,2.477972840079568471e+02
6.939750000000000000e+06,9.991623864457674919e-01,5.422864050293729581e-03,1.946927262130861758e+00,1.295662885105267321e+02,5.357113943731805250e+01,1.831374279478447988e+02,1.564772055544684122e+02,1.562282626491289932e+02,3.393656905969738204e+02
7.305000000000000000e+06,9.991491959468571382e-01,4.887200008287799664e-03,2.010611964430062848e+00,1.271928457984010095e+02,6.296071637455698777e+01,1.901535621729580043e+02,-1.197067830526048340e+02,2.407805289534816779e+02,7.093409112643965386e+01
7.670250000000000000e+06,9.991442661344271947e-01,4.294374520665078000e-03,2.069699789561644465e+00,1.248217631663677167e+02,7.276808883951103724e+01,1.975898520058787255e+02,-3.537260920389530838e+01,3.249115160373810909e+02,1.625013680432597880e+02
8.035500000000000000e+06,9.991342741732226473e-01,3.802885579662131869e-03,2.124131594329355277e+00,1.224454024114847499e+02,8.400241999502908641e+01,2.064478224065138363e+02,4.794622044349817713e+01,4.762326523546476409e+01,2.540710876419786075e+02
8.400750000000000000e+06,9.991573620423201962e-01,3.396752544011851470e-03,2.173659242490010524e+00,1.200653898001383197e+02,9.853600676282694337e+01,2.186013965629652773e+02,1.273463457916275843e+02,1.270364287534238485e+02,3.456378253163891259e+02
8.766000000000000000e+06,9.991593415107007381e-01,3.028112364517292557e-03,2.218372679134538838e+00,1.176815136878103800e+02,1.128150849254681134e+02,2.304965986132784792e+02,-1.534418963227369375e+02,2.067135631118787558e+02,7.721016172515723497e+01
9.131250000000000000e+06,9.991613744878653502e-01,2.785173702875843628e-03,2.258183408768405620e+00,1.152959363152744032e+02,1.288778506845076492e+02,2.441737869997820667e+02,-7.570164564893421755e+01,2.846074653009148960e+02,1.687812523006970196e+02
9.496500000000000000e+06,9.991532349476024422e-01,2.704056582902605779e-03,2.293057919706415149e+00,1.129017653991301700e+02,1.484124171764833875e+02,2.613141825756135290e+02,-9.670025809041430387e-01,3.590382162294905584e+02,2.603523988051041442e+02
9.861750000000000000e+06,9.991624047292188004e-01,2.725450423421741167e-03,2.322842052336441476e+00,1.104983206273335270e+02,1.676606817645188698e+02,2.781590023918524253e+02,7.406544522976986400e+01,7.376530077226640003e+01,3.519243031641187827e+02
1.022700000000000000e+07,9.991503871367577450e-01,2.911308648370150142e-03,2.347536060696876703e+00,1.080843259723371403e+02,1.833631924257750256e+02,2.914475183981121518e+02,1.522075215444018852e+02,1.520516674532296122e+02,8.349918585134177818e+01
1.059225000000000000e+07,9.991504670997359838e-01,3.202219260226135417e-03,2.367004418641272423e+00,1.056611458340302079e+02,1.986499960685916903e+02,3.043111419026218982e+02,-1.295210587077465334e+02,2.307624339496931896e+02,1.750735758523151446e+02
1.095750000000000000e+07,9.991311045810931102e-01,3.519132330285208374e-03,2.381375426201801204e+00,1.032289003223569495e+02,2.131646254986867177e+02,3.163935258210436245e+02,-5.005570733941368644e+01,3.102529383173163637e+02,2.666464641383599314e+02
1.132275000000000000e+07,9.991446810857588234e-01,3.918927261386501854e-03,2.390655576191372589e+00,1.007826517308081549e+02,2.241507871894153539e+02,3.249334389202235229e+02,3.353609067914959496e+01,3.328859989494753080e+01,3.582220388151710608e+02
1.168800000000000000e+07,9.991501987031327081e-01,4.385655117152870326e-03,2.394717764906477253e+00,9.831999643249767473e+01,2.339105858828538373e+02,3.322305823153515121e+02,1.180108413831544851e+02,1.175664675031036097e+02,8.979704981845510758e+01
1.205325000000000000e+07,9.991683185111938093e-01,4.760798310116670304e-03,2.393494431623773622e+00,9.584220185403539460e+01,2.431918003336921288e+02,3.390340021877275376e+02,-1.578650304664930388e+02,2.023412078913925711e+02,1.813752100791201372e+02
1.241850000000000000e+07,9.991568082172883614e-01,5.195315444278617197e-03,2.387058985698696123e+00,9.334904948891465892e+01,2.517066993203893901e+02,3.450557488093040774e+02,-7.266976847834735054e+01,2.878978833767238825e+02,2.729536321860279031e+02
