# t,a,e,i,Omega,omega,varpi,f,M,lam
9.861750000000000000e+06,3.870981951238003926e-01,2.066839026843036720e-01,6.034931535172519901e+00,6.220053283883004269e+00,1.101421710724920473e+02,1.163622243563750516e+02,8.513368464863005158e+01,6.200622609178392253e+01,1.783684504481589670e+02
1.022700000000000000e+07,3.870984140997537626e-01,2.065071518268229989e-01,6.037863784676894774e+00,4.382526092745147039e+00,1.134094529718965418e+02,1.177919790646416800e+02,9.108441788260519445e+01,6.752508929195636256e+01,1.853170683565980426e+02
1.059225000000000000e+07,3.870987093442921356e-01,2.062915482897719754e-01,6.043611019393774875e+00,2.543562858866906140e+00,1.166742973770920457e+02,1.192178602359589661e+02,9.679550823932866876e+01,7.305533209737674838e+01,1.922731923333357145e+02
1.095750000000000000e+07,3.870987879542638344e-01,2.060731084534412338e-01,6.052211112278033767e+00,6.999358168101139643e-01,1.199542295588659186e+02,1.206541653756760297e+02,1.022641753335982315e+02,7.857340702107620700e+01,1.992275723967522651e+02
1.132275000000000000e+07,3.870990853125381714e-01,2.058466031950153541e-01,6.063129073426655857e+00,-1.142291545767617045e+00,1.232274606678905826e+02,1.220851691221229629e+02,1.075269345723989005e+02,8.409856855223510763e+01,2.061837376743580990e+02
1.168800000000000000e+07,3.870992552883197324e-01,2.055833668384586255e-01,6.076371254080579654e+00,-2.981614128479281867e+00,1.265065399475362398e+02,1.235249258190569606e+02,1.125877548404574782e+02,8.962007059769102568e+01,2.131449964167480005e+02
1.205325000000000000e+07,3.870993309824908302e-01,2.053319011034938357e-01,6.091591511301299278e+00,-4.817393487498259574e+00,1.297849379408522736e+02,1.249675444533540229e+02,1.174660521233539470e+02,9.513413877799403906e+01,2.201016832313480620e+02
1.241850000000000000e+07,3.870996426400624690e-01,2.050518809899377348e-01,6.108289240976518819e+00,-6.646242304661395650e+00,1.330561079631306711e+02,1.264098656584693003e+02,1.221891904780237610e+02,1.006579789523489126e+02,2.270678446108181845e+02
1.278375000000000000e+07,3.870994048324196135e-01,2.047703185492387723e-01,6.126462014609711737e+00,-8.467549774941193874e+00,1.363330514565146245e+02,1.278655016815734342e+02,1.267506720080797180e+02,1.061623474627569834e+02,2.340278491443304461e+02
1.314900000000000000e+07,3.870991224566124322e-01,2.044827279354051730e-01,6.145468283603932491e+00,-1.028127878668130357e+01,1.396010794613590917e+02,1.293198006746777651e+02,1.311882782091404067e+02,1.116750975502439047e+02,2.409948982249217124e+02
1.351425000000000000e+07,3.870990519910753047e-01,2.041800415842125460e-01,6.164887690153383559e+00,-1.208442226276524067e+01,1.428642453172863611e+02,1.307798230545211311e+02,1.355030987548549319e+02,1.171816193010864282e+02,2.479614423556076019e+02
