# t,a,e,i,Omega,omega,varpi,f,M,lam
1.935825000000000000e+07,9.588004002240136714e+00,6.061691682127302860e-02,2.509490371394639485e+00,1.028854864089319960e+02,5.358493753146611738e+01,1.564704239403981205e+02,4.574165888941188740e+01,4.092184077386956176e+01,1.973922647142676681e+02
1.972350000000000000e+07,9.524508528101762295e+00,5.345451956840602259e-02,2.501249475804750766e+00,1.002289675600877104e+02,5.871790301922550270e+01,1.589468705793132415e+02,1.948695875078346518e+01,1.751840696381243490e+01,1.764652775431256657e+02
2.008875000000000000e+07,9.577205769520292122e+00,5.461009879532676553e-02,2.479365465893666354e+00,9.755753524366275542e+01,6.511330474833890491e+01,1.626708399920016745e+02,-7.719511063294506314e+00,3.530881189267236095e+02,1.557589589187252272e+02
2.045400000000000000e+07,9.575796161131178152e+00,4.992820898365461085e-02,2.454016843910267642e+00,9.497542787443198620e+01,7.603761775874698969e+01,1.710130456331789901e+02,-3.902275995556481547e+01,3.244768231114695709e+02,1.354898687446485042e+02
2.081925000000000000e+07,9.522253378389649470e+00,4.308069967293417374e-02,2.417554909736975066e+00,9.241449563220717778e+01,8.692327230592844955e+01,1.793377679381356415e+02,-6.907237542452973855e+01,2.954847473107881797e+02,1.148225152489238212e+02
2.118450000000000000e+07,9.588366786893091742e+00,3.798201439664661283e-02,2.370039580751808650e+00,8.998829623014113110e+01,8.990785516997539162e+01,1.798961514001165369e+02,-8.984099275518084937e+01,2.745100180900680016e+02,9.440616949018451010e+01
2.154975000000000000e+07,9.545124956473742373e+00,3.594794916586765976e-02,2.316330366391913920e+00,8.758543405491759870e+01,1.024924571069849293e+02,1.900778911619025280e+02,-1.196136288401956165e+02,2.440153159582731348e+02,7.409320712017571964e+01
2.191500000000000000e+07,9.538382786401580660e+00,3.020455326105938448e-02,2.248822377890700608e+00,8.527553957639044313e+01,1.160441447279937108e+02,2.013196843043841398e+02,-1.493803266498716198e+02,2.124174889569711127e+02,5.373717326135524530e+01
2.228025000000000000e+07,9.585970024069744966e+00,2.350037247746408070e-02,2.172466141248816207e+00,8.305857309838332014e+01,1.231925658731678652e+02,2.062511389715511712e+02,-1.731943333186383143e+02,1.871304596502382935e+02,3.338159862178950021e+01
2.264550000000000000e+07,9.526258593523650120e+00,2.307865553959901131e-02,2.088499145427965775e+00,8.085136726908719140e+01,1.355976978705250247e+02,2.164490651396122303e+02,1.578999844096434515e+02,1.568888382567511428e+02,1.333790339636333222e+01
